accession	nid	size	phylum	genus	species	strain	trophic	pathogenic
Z77335	g2052202	319	Actinobacteria	Streptomyces	albidoflavus	DSM 40455T	h	u
Z77336	g2052203	311	Actinobacteria	Streptomyces	albidoflavus	DSM 40455T	h	u
Z77337	g2052204	319	Actinobacteria	Streptomyces	albidoflavus	DSM 40455T	h	u
Z77338	g2052205	319	Actinobacteria	Streptomyces	albidoflavus	DSM 40455T	h	u
Z77339	g2052206	318	Actinobacteria	Streptomyces	albidoflavus	DSM 40455T	h	u
Z77340	g2052207	319	Actinobacteria	Streptomyces	albidoflavus	DSM 40455T	h	u
Z77341	g2052208	319	Actinobacteria	Streptomyces	albidoflavus	DSM 40455T	h	u
AF363498	AF363498.1 GI:14583	307	Actinobacteria	Streptomyces	neyagawaensis	DSM 40588	h	u
AY027679	AY027679.1 GI:14276	300	Actinobacteria	Streptomyces	ambofaciens	DSM 40697	h	u
AY027675	AY027675.1 GI:14276	304	Actinobacteria	Streptomyces	ambofaciens	DSM 40697	h	u
AY027676	AY027676.1 GI:14276	300	Actinobacteria	Streptomyces	ambofaciens	DSM 40697	h	u
AY027677	AY027677.1 GI:14276	300	Actinobacteria	Streptomyces	ambofaciens	DSM 40697	h	u
AY027678	AY027678.1 GI:14276	303	Actinobacteria	Streptomyces	ambofaciens	DSM 40697	h	u
AY027680	AY027680.1 GI:14276	301	Actinobacteria	Streptomyces	ambofaciens	DSM 40697	h	u
Z77342	g2052209	311	Actinobacteria	Streptomyces	albidoflavus	DSM 40792	h	u
Z77343	g2052210	319	Actinobacteria	Streptomyces	albidoflavus	DSM 40792	h	u
Z77344	g2052211	313	Actinobacteria	Streptomyces	albidoflavus	DSM 40792	h	u
Z77345	g2052212	319	Actinobacteria	Streptomyces	albidoflavus	DSM 40792	h	u
Z77346	g2052213	322	Actinobacteria	Streptomyces	albidoflavus	DSM 40792	h	u
Z77347	g2052214	311	Actinobacteria	Streptomyces	albidoflavus	DSM 40792	h	u
Z77348	g2052215	319	Actinobacteria	Streptomyces	albidoflavus	DSM 40792	h	u
Z77349	g2052216	311	Actinobacteria	Streptomyces	albidoflavus	DSM 40792	h	u
Z77350	g2052217	318	Actinobacteria	Streptomyces	albidoflavus	DSM 40792	h	u
Z77351	g2052218	319	Actinobacteria	Streptomyces	albidoflavus	DSM 40792	h	u
AJ291596	AJ291596.1 GI:11322	363	Actinobacteria	Mycobacterium	phlei	DSM 43239 T	h	p
AJ291594	AJ291594.1 GI:11322	359	Actinobacteria	Mycobacterium	peregrinum	DSM 43271 T	h	p
AJ291584	AJ291584.1 GI:11322	296	Actinobacteria	Mycobacterium	chelonae	DSM 43276	h	p
AJ291600	AJ291600.1 GI:11322	408	Actinobacteria	Mycobacterium	vaccae	DSM 43292 T	h	p
AJ291590	AJ291590.1 GI:11322	364	Actinobacteria	Mycobacterium	fortuitum	DSM 43655	h	p
AJ291599	AJ291599.1 GI:11322	365	Actinobacteria	Mycobacterium	smegmatis	DSM 43756 T	h	p
AJ291582	AJ291582.1 GI:11322	294	Actinobacteria	Mycobacterium	chelonae	DSM 43804	h	p
AJ291583	AJ291583.1 GI:11322	294	Actinobacteria	Mycobacterium	chelonae	DSM 4384	h	p
AF017488	g2738835	505	Actinobacteria	Nocardioides	albus	DSM 43873	h	u
AF017489	g2738836	511	Actinobacteria	Nocardioides	albus	DSM 43874	h	u
AF017490	g2738837	523	Actinobacteria	Nocardioides	albus	DSM 43874	h	u
AJ291586	AJ291586.1 GI:11322	360	Actinobacteria	Mycobacterium	flavescens	DSM 43991 T	h	p
AJ291580	AJ291580.1 GI:11322	298	Actinobacteria	Mycobacterium	abscessus	DSM 44196 T	h	p
AJ291588	AJ291588.1 GI:11322	363	Actinobacteria	Mycobacterium	fortuitum	DSM 44220 T	h	p
AJ291598	AJ291598.1 GI:11322	380	Actinobacteria	Mycobacterium	porcinum	DSM 44242 T	h	p
AF017480	g2738827	509	Actinobacteria	Nocardioides	albus	DSM 46107	h	u
AJ291587	AJ291587.1 GI:11322	342	Actinobacteria	Mycobacterium	fortuitum	DSM 46621 T	h	p
AJ279240	AJ279240.1 GI:98446	452	Proteobacteria	Pseudomonas	chlororaphis	DSM 50083	h	u
AJ251903	AJ251903.1 GI:98445	528	Proteobacteria	Pseudomonas	stutzeri	DSM 50227	h	u
AJ251909	AJ251909.1 GI:98445	477	Proteobacteria	Pseudomonas	stutzeri	DSM 50238	h	u
AJ279242	AJ279242.1 GI:98446	488	Proteobacteria	Pseudomonas	cichorii	DSM 50259	h	u
S51966	g262624	245	Firmicutes	Clostridium	pasteurianum	DSM 525	h	p
AJ279238	AJ279238.1 GI:98445	486	Proteobacteria	Pseudomonas	balearica	DSM 6803	h	u
AJ012707	AJ012707.1 GI:72092	831	Proteobacteria	Roseobacter	litoralis	DSM 6996	h	n
AJ012706	AJ012706.1 GI:72092	827	Proteobacteria	Roseobacter	denitrificans	DSM 7001	h	n
AJ237906	AJ237906.1 GI:64917	496	Nitrospirae	Leptospirillum	sp	DSM 9468	a	u
AF363499	AF363499.1 GI:14583	299	Actinobacteria	Streptomyces	acidiscabies	DSM 41671	h	u
AJ420056	AJ420056.1 GI:18496	368	Firmicutes	Bacillus	thuringiensis	DSMZ 2046T	h	p
AJ420064	AJ420064.1 GI:18496	371	Firmicutes	Bacillus	mycoides	DSMZ 2048T	h	p
AJ420065	AJ420065.1 GI:18496	371	Firmicutes	Bacillus	mycoides	DSMZ 299	h	p
AJ420066	AJ420066.1 GI:18496	372	Firmicutes	Bacillus	mycoides	DSMZ 309	h	p
AJ420052	AJ420052.1 GI:18496	368	Firmicutes	Bacillus	cereus	DSMZ 31T	h	n
AJ420053	AJ420053.1 GI:18496	368	Firmicutes	Bacillus	cereus	DSMZ 345	h	n
AJ420054	AJ420054.1 GI:18496	373	Firmicutes	Bacillus	cereus	DSMZ 626	h	n
AB026215	AB026215.1 GI:66836	313	Actinobacteria	Streptomyces	scabies	E-1	h	u
AF082293	g3421435	347	Firmicutes	Enterococcus	faecium	E11c	h	p
AF070677	g3249687	347	Firmicutes	Enterococcus	faecium	E18d	h	p
AB026216	AB026216.1 GI:66836	313	Actinobacteria	Streptomyces	scabies	E-2	h	u
AF070676	g3249686	444	Firmicutes	Enterococcus	faecium	E29d	h	p
AF082295	g3421437	232	Firmicutes	Enterococcus	faecium	E2c	h	p
AF082292	g3421434	446	Firmicutes	Enterococcus	faecium	E3c	h	p
U68433	g1943880	225	Chlamydiae	Chlamydia	pecorum	E58	h	p
AL079345	AL079345.1 GI:51236	280	Actinobacteria	Streptomyces	coelicolor	E68	h	u
AF070678	g3249688	327	Firmicutes	Enterococcus	faecium	E8d	h	p
AF082294	g3421436	327	Firmicutes	Enterococcus	faecium	E9c	h	p
X85726	g1177240	751	Proteobacteria	Acetobacter	xylinum	EAG3	h	u
U76710	g1943925	222	Chlamydiae	Chlamydia	psittaci	EBA	h	p
AF268217	AF268217.2 GI:13809	260	Proteobacteria	uncultured	bacterium	EBAC27G05	h	n
AF268236	AF268236.2 GI:13809	424	Proteobacteria	uncultured	bacterium	EBAC37G09	h	n
AF268216	AF268216.2 GI:13809	397	Proteobacteria	uncultured	bacterium	EBAC39D12	h	n
AF268220	AF268220.2 GI:13809	392	Proteobacteria	uncultured	bacterium	EBAC40E09	h	n
AF268221	AF268221.2 GI:13809	397	Proteobacteria	uncultured	bacterium	EBAC46D07	h	n
AF448594	AF448594.1 GI:17865	444	Proteobacteria	Pectobacterium	carotovorum	Ecbr 212	h	u
AF448595	AF448595.1 GI:17865	475	Proteobacteria	Pectobacterium	carotovorum	Ecbr 212	h	u
AF448597	AF448597.1 GI:17865	491	Proteobacteria	Pectobacterium	carotovorum	Ecbr 213	h	u
AF448596	AF448596.1 GI:17865	452	Proteobacteria	Pectobacterium	carotovorum	Ecbr 213	h	u
AF448592	AF448592.1 GI:17865	451	Proteobacteria	Pectobacterium	carotovorum	Ecbr 8	h	u
AF448593	AF448593.1 GI:17865	490	Proteobacteria	Pectobacterium	carotovorum	Ecbr 8	h	u
U55296	g1669829	354	Proteobacteria	Escherichia	coli	ECOR 10	h	p
U55297	g1669830	354	Proteobacteria	Escherichia	coli	ECOR 10	h	p
U55298	g1669831	354	Proteobacteria	Escherichia	coli	ECOR 35	h	p
U55299	g1669832	354	Proteobacteria	Escherichia	coli	ECOR 35	h	p
U55300	g1669833	354	Proteobacteria	Escherichia	coli	ECOR 44	h	p
U55301	g1669834	354	Proteobacteria	Escherichia	coli	ECOR 44	h	p
U55302	g1669835	354	Proteobacteria	Escherichia	coli	ECOR 49	h	p
U55303	g1669836	354	Proteobacteria	Escherichia	coli	ECOR 49	h	p
U55304	g1669837	354	Proteobacteria	Escherichia	coli	ECOR 49	h	p
U55305	g1669838	354	Proteobacteria	Escherichia	coli	ECOR 49	h	p
U55306	g1669839	354	Proteobacteria	Escherichia	coli	ECOR 52	h	p
U55307	g1669840	354	Proteobacteria	Escherichia	coli	ECOR 52	h	p
U55308	g1669841	354	Proteobacteria	Escherichia	coli	ECOR 52	h	p
U55309	g1669842	354	Proteobacteria	Escherichia	coli	ECOR 58	h	p
U55310	g1669843	354	Proteobacteria	Escherichia	coli	ECOR 58	h	p
U55311	g1669844	354	Proteobacteria	Escherichia	coli	ECOR 58	h	p
AB031217	AB031217.1 GI:57622	651	Bacteroidetes/Chlorobi	Flavobacterium	columnare	EK28	h	u
AJ012701	AJ012701.1 GI:72092	1012	Proteobacteria	Roseovarius	tolerans	EL-164	h	u
AJ012702	AJ012702.1 GI:72092	930	Proteobacteria	Roseovarius	tolerans	EL-171	h	u
AJ012700	AJ012700.1 GI:72092	806	Proteobacteria	Roseovarius	tolerans	EL-172	h	u
AJ012704	AJ012704.1 GI:72086	939	Proteobacteria	Antarctobacter	heliothermus	EL-219	h	u
AJ012703	AJ012703.1 GI:72092	930	Proteobacteria	Roseovarius	tolerans	EL-222	h	u
U36944	g1244530	310	Proteobacteria	Piscirickettsia	salmonis	EM-90	h	p
AF291169	AF291169.1 GI:99315	748	Euryarchaeota	uncultured	haloarchaeon	Envl-181	h	n
AF291170	AF291170.1 GI:99315	578	Euryarchaeota	uncultured	haloarchaeon	Envl-182	h	n
AF291168	AF291168.1 GI:99315	736	Euryarchaeota	uncultured	haloarchaeon	Envl-184	h	n
AJ422178	AJ422178.1 GI:19571	953	Proteobacteria	Bartonella	bacilliformis	ER-Yal	h	p
AJ439393	AJ439393.1 GI:19682	606	Proteobacteria	Acinetobacter	sp	EVA10	h	n
AJ439394	AJ439394.1 GI:19682	587	Proteobacteria	Acinetobacter	sp	EVA11	h	n
AJ439395	AJ439395.1 GI:19682	460	Proteobacteria	Acinetobacter	sp	EVA12	h	n
AJ439396	AJ439396.1 GI:19682	651	Proteobacteria	Acinetobacter	sp	EVA13	h	n
AJ439397	AJ439397.1 GI:19682	606	Proteobacteria	Acinetobacter	sp	EVA14	h	n
AJ439388	AJ439388.1 GI:19682	470	Proteobacteria	Pseudomonas	aeruginosa	EVA5	h	p
AJ439389	AJ439389.1 GI:19682	469	Proteobacteria	Pseudomonas	aeruginosa	EVA6	h	p
AJ439390	AJ439390.1 GI:19682	436	Proteobacteria	Pseudomonas	aeruginosa	EVA7	h	p
AJ439391	AJ439391.1 GI:19682	470	Proteobacteria	Pseudomonas	aeruginosa	EVA8	h	p
AJ439392	AJ439392.1 GI:19682	445	Proteobacteria	Pseudomonas	aeruginosa	EVA9	h	p
AF122910	AF122910.1 GI:49594	221	Firmicutes	Phytoplasma	yellows	EY1	h	p
U68442	g1943910	243	Chlamydiae	Chlamydia	trachomatis	F/IC/CAL3	h	p
AF442741	AF442741.1 GI:19526	626	Proteobacteria	Xanthomonas	axonopodis	F1	h	u
D63685	g944984	307	Firmicutes	Ureaplasma	cati	F2	h	p
L42533	g840628	158	Firmicutes	Bacillus	cereus	F2532/74	h	n
AF179001	AF179001.1 GI:66938	534	Actinobacteria	Renibacterium	salmoninarum	F-283-87	h	n
AJ005549	g3063900	723	Proteobacteria	Nitrosomonas	sp	F3	h	u
L42532	g840627	157	Firmicutes	Bacillus	cereus	F3484/77	h	n
AF179002	AF179002.1 GI:66938	534	Actinobacteria	Renibacterium	salmoninarum	F-358-87	h	n
AB031583	AB031583.1 GI:58214	377	Firmicutes	Mycoplasma	capricolum	F38	h	p
AJ005550	g3063901	459	Proteobacteria	Nitrosomonas	sp	F5	h	u
AJ298751	AJ298751.1 GI:17932	394	Proteobacteria	Nitrosomonas	sp	F6	h	u
AF367164	AF367164.1 GI:14044	354	Cyanobacteria	Nodularia	sp	F81	a	u
L35103	g984027	1529	Proteobacteria	Bartonella	elizabethae	F9251	h	p
AJ274639	AJ274639.1 GI:64536	231	Firmicutes	Phytoplasma	sugarcane	FBP	h	p
AF073227	g4587917	509	Proteobacteria	Xylella	fastidiosa	Fetzer	h	p
AF369526	AF369526.1 GI:15290	1006	Proteobacteria	Bartonella	henselae	Fizz	h	p
AB031216	AB031216.1 GI:57622	642	Bacteroidetes/Chlorobi	Flavobacterium	columnare	FK401	h	u
U68424	g1943875	223	Chlamydiae	Chlamydia	pneumoniae	FML12	h	p
U68425	g1943876	223	Chlamydiae	Chlamydia	pneumoniae	FML16	h	p
AF410959	AF410959.1 GI:15559	306	Fusobacteria	Fusobacterium	necrophorum	Fn48	h	u
AF410960	AF410960.1 GI:15559	145	Fusobacteria	Fusobacterium	necrophorum	Fn48	h	u
AF410961	AF410961.1 GI:15559	310	Fusobacteria	Fusobacterium	necrophorum	Fn513	h	u
AF410962	AF410962.1 GI:15559	143	Fusobacteria	Fusobacterium	necrophorum	Fn513	h	u
AF410963	AF410963.1 GI:15559	303	Fusobacteria	Fusobacterium	necrophorum	Fn523	h	u
AF410964	AF410964.1 GI:15559	142	Fusobacteria	Fusobacterium	necrophorum	Fn523	h	u
U68458	g1943898	222	Chlamydiae	Chlamydia	psittaci	FP Cello	h	p
U68459	g1943899	224	Chlamydiae	Chlamydia	psittaci	FP Vaccine	h	p
U68457	g1943897	224	Chlamydiae	Chlamydia	psittaci	FP VR-120	h	p
AF050760	g4405802	389	Actinobacteria	Frankia	sp	FrCam	h	u
AF050761	g4405803	383	Actinobacteria	Frankia	sp	FrCcor	h	u
AF050762	g4405804	382	Actinobacteria	Frankia	sp	FrCcun	h	u
AF050763	g4405805	382	Actinobacteria	Frankia	sp	FrCint	h	u
AF050764	g4405806	384	Actinobacteria	Frankia	sp	FrCpro	h	u
AF050765	g4405807	381	Actinobacteria	Frankia	sp	FrCpum	h	u
AF050767	g4405809	384	Actinobacteria	Frankia	sp	FrCvel-20	h	u
AF050766	g4405808	384	Actinobacteria	Frankia	sp	FrCvel-ga	h	u
AF050768	g4405810	384	Actinobacteria	Frankia	sp	FrCvel-iz	h	u
D63687	g944985	313	Firmicutes	Ureaplasma	felinum	FT2-B	h	p
AF127591	AF127591.1 GI:13270	499	Proteobacteria	Pseudomonas	fluorescens	G10	h	n
D89505	g1752791	310	Firmicutes	Mycoplasma	caviae	G122	h	p
AJ420067	AJ420067.1 GI:18496	362	Firmicutes	Bacillus	mycoides	G2	h	p
AJ420070	AJ420070.1 GI:18496	242	Firmicutes	Bacillus	mycoides	G2	h	p
AF324458	AF324458.1 GI:13123	285	Firmicutes	Streptococcus	canis	G2567	h	p
AF324459	AF324459.1 GI:13123	285	Firmicutes	Streptococcus	canis	G2643	h	p
AF324460	AF324460.1 GI:13123	285	Firmicutes	Streptococcus	canis	G3232	h	p
D14526	g286119	224	Firmicutes	Mycoplasma	genitalium	G37	h	p
MYCGEN001	MYCGEN001	204	Firmicutes	Mycoplasma	genitalium	G37	h	p
AF324461	AF324461.1 GI:13123	285	Firmicutes	Streptococcus	canis	G5093	h	p
Y15865	g3077642	290	Firmicutes	Phytoplasma	sp	GaLL	h	p
U68450	g1943890	224	Chlamydiae	Chlamydia	psittaci	GD	h	p
Y15861	g2689255	231	Firmicutes	Phytoplasma	sp	GGS	h	p
AJ295324	AJ295324.1 GI:16605	51	Microsporidia	unidentified	microsporidian	GHB1	h	p
AF397678	AF397678.1 GI:18462	542	Cyanobacteria	Prochlorococcus	marinus	GP2	a	n
U68451	g1943891	224	Chlamydiae	Chlamydia	psittaci	GPIC	h	p
AF367175	AF367175.1 GI:14044	354	Cyanobacteria	Nodularia	spumigena	GR8b	a	u
AJ295325	AJ295325.1 GI:16605	33	Microsporidia	Glugea	sp	GS1	h	p
D89508	g1752794	221	Firmicutes	Mycoplasma	penetrans	GTU54	h	p
Y15858	g2689252	256	Firmicutes	Phytoplasma	sp	GWL-T	h	p
U11774	g644545	469	Firmicutes	Staphylococcus	aureus	H11	h	p
U11775	g644546	302	Firmicutes	Staphylococcus	aureus	H11	h	p
U11776	g644547	336	Firmicutes	Staphylococcus	aureus	H11	h	p
U11777	g644548	382	Firmicutes	Staphylococcus	aureus	H11	h	p
U11783	g644554	336	Firmicutes	Staphylococcus	aureus	H11	h	p
U11788	g644559	365	Firmicutes	Staphylococcus	aureus	H11	h	p
U11789	g644560	336	Firmicutes	Staphylococcus	aureus	H11	h	p
AF324462	AF324462.1 GI:13123	285	Firmicutes	Streptococcus	canis	H113/108	h	p
AF127582	AF127582.1 GI:13270	515	Proteobacteria	Pseudomonas	reactans	H22	h	u
AF127581	AF127581.1 GI:13270	514	Proteobacteria	Pseudomonas	reactans	H3	h	u
AB026287	g4666285	586	Proteobacteria	Xanthomonas	oryzae	H319	h	u
AF291412	AF291412.1 GI:15077	300	Firmicutes	Streptococcus	agalactiae	H36B	h	p
MYCTUB001	MYCTUB001	276	Actinobacteria	Mycobacterium	tuberculosis	H37Rv	h	p
U68427	g1943901	238	Chlamydiae	Chlamydia	trachomatis	H5	h	p
AF271646	AF271646.1 GI:15080	1160	Proteobacteria	Rhizobium	galegae	HAMBI 540	h	n
AJ420057	AJ420057.1 GI:18496	368	Firmicutes	Bacillus	thuringiensis	HD1	h	p
AF122912	AF122912.1 GI:49594	216	Firmicutes	Phytoplasma	HD1	HD1	h	p
L42534	g840629	157	Firmicutes	Bacillus	thuringiensis	HD225	h	p
AF367163	AF367163.1 GI:14044	369	Cyanobacteria	Nodularia	sp	HEM	a	u
AF147708	AF147708.1 GI:76731	228	Firmicutes	Phytoplasma	brasiliense	HibWB26	h	p
AF036900	g4104592	377	Actinobacteria	Frankia	sp	HJVEL	h	u
D84404	g1304034	245	Spirochaetes	Borrelia	sp	Hk501	h	u
AF367169	AF367169.1 GI:14044	350	Cyanobacteria	Nodularia	sphaerocarpa	HKVV	a	u
AF073239	g4587929	509	Proteobacteria	Xylella	fastidiosa	Hopland	h	p
L35101	g984025	1262	Proteobacteria	Bartonella	henselae	Houston	h	p
AF312497	AF312497.1 GI:16589	1552	Proteobacteria	Bartonella	clarridgeiae	Houston2	h	u
D89509	g1752795	324	Firmicutes	Mycoplasma	primatum	HRC292	h	p
AJ420060	AJ420060.1 GI:18496	369	Firmicutes	Bacillus	thuringiensis	Ht39	h	p
D85903	g1389615	253	Spirochaetes	Borrelia	garinii	HT59	h	u
AF367159	AF367159.1 GI:14044	277	Cyanobacteria	Nodularia	harveyana	Hubel 1983/300	a	u
AF367162	AF367162.1 GI:14044	354	Cyanobacteria	Nodularia	spumigena	Hubel 1987/310	a	u
AF367172	AF367172.1 GI:14044	354	Cyanobacteria	Nodularia	spumigena	Hubel 1987/311	a	u
AF367171	AF367171.1 GI:14044	354	Cyanobacteria	Nodularia	spumigena	Hubel 1988/306a	a	u
AF367170	AF367170.1 GI:14044	354	Cyanobacteria	Nodularia	spumigena	Hubel 1988/306b	a	u
AF209770	AF209770.1 GI:17026	485	Proteobacteria	Xanthomonas	axonopodis	I11342	h	u
AL109848	AL109848.1 GI:57384	276	Actinobacteria	Streptomyces	coelicolor	I51	h	u
AF321872	AF321872.1 GI:18001	1040	Proteobacteria	Rhizobium	hainanense	I66	h	n
AF271644	AF271644.1 GI:15080	1079	Proteobacteria	Agrobacterium	tumefaciens	IAM 13129	h	p
AB030748	AB030748.1 GI:57080	635	Bacteroidetes/Chlorobi	Flavobacterium	columnare	IAM14301T	h	u
AF209768	AF209768.1 GI:17026	501	Proteobacteria	Xanthomonas	axonopodis	IBSBF1171	h	u
AF209769	AF209769.1 GI:17026	491	Proteobacteria	Xanthomonas	axonopodis	IBSBF777	h	u
AF209751	AF209751.1 GI:17026	479	Proteobacteria	Xanthomonas	albilineans	ICMP196	h	u
D87082	g1622714	557	Proteobacteria	Burkholderia	gladioli	ICMP2804	h	n
AF209766	AF209766.1 GI:17026	489	Proteobacteria	Xanthomonas	axonopodis	ICMP3151	h	u
AF209752	AF209752.1 GI:17026	489	Proteobacteria	Xanthomonas	arboricola	ICMP35	h	u
D87081	g1622713	548	Proteobacteria	Burkholderia	gladioli	ICMP3950	h	n
D87084	g1622716	660	Proteobacteria	Burkholderia	caryophylli	ICMP512	h	n
D87083	g1622715	592	Proteobacteria	Burkholderia	cepacia	ICMP5796	h	p
AF017500	g2738847	473	Actinobacteria	Nocardioides	flavus	IFO14396	h	u
AF017501	g2738848	473	Actinobacteria	Nocardioides	flavus	IFO14397	h	u
AF017503	g2738850	473	Actinobacteria	Nocardioides	fulvus	IFO14399	h	u
AF145719	AF145719.1 GI:67395	210	Firmicutes	Planococcus	okeanokoites	IFO12536	h	u
U93313	g2290499	278	Actinobacteria	Kitasatosporia	azaticus	IFO13803	h	u
U93315	g2290501	280	Actinobacteria	Kitasatosporia	brunnea	IFO14627	h	u
AB003404	g2351018	517	Euryarchaeota	Halorubrum	sodomense	IFO14740	h	n
D26489	g1054563	199	Crenarchaeota	Acidianus	brierleyi	IFO15269	h	u
D26490	g1054618	183	Crenarchaeota	Sulfolobus	solfataricus	IFO15331	h	n
D26491	g1054585	178	Crenarchaeota	Metallosphaera	sedula	IFO15509	h	u
AF001265	g2150030	330	Firmicutes	Rhodococcus	erythropolis	IGTS8	h	n
S83265	g1881794	496	Firmicutes	Listeria	monocytogenes	IHE MB 41	h	p
AJ005556	g3063918	683	Proteobacteria	Nitrosospira	sp	III2	h	u
AJ005557	g3063919	685	Proteobacteria	Nitrosospira	sp	III7	h	u
U68434	g1943881	225	Chlamydiae	Chlamydia	pecorum	IPA	h	p
Z46602	g3650263	247	Actinobacteria	Actinopolyspora	iraqiensis	IQ-H1T	h	u
Z46601	g3650266	190	Actinobacteria	Actinopolyspora	sp	IQ-H2	h	u
AF271647	AF271647.1 GI:15080	815	Proteobacteria	Bradyrhizobium	sp	IRBG 271	h	n
AF364836	AF364836.1 GI:15099	1054	Proteobacteria	Rhizobium	sp	IRBG 74	h	n
AF364838	AF364838.1 GI:15099	1056	Proteobacteria	Rhizobium	sp	IRBG 74	h	n
AF364839	AF364839.1 GI:15099	1054	Proteobacteria	Rhizobium	sp	IRBG 74	h	n
AF271648	AF271648.1 GI:15080	1085	Proteobacteria	Rhizobium	sp	IRBG 74	h	n
AF364837	AF364837.1 GI:15099	1054	Proteobacteria	Rhizobium	sp	IRBG 74	h	n
Y11737	Y11737.1 GI:6687655	347	Proteobacteria	Haemophilus	ducreyi	ITM 5600	h	p
K01983	g142148	395	Cyanobacteria	Anacystis	nidulans	IU625	a	u
AF093474	AF093474.1 GI:44571	534	Actinobacteria	Renibacterium	salmoninarum	Iwate	h	n
AF127586	AF127586.1 GI:13270	501	Proteobacteria	Pseudomonas	fluorescens	J14	h	n
AF017495	g2738842	386	Actinobacteria	Nocardioides	simplex	JCM1366	h	u
AF017496	g2738843	386	Actinobacteria	Nocardioides	simplex	JCM1367	h	u
AF163135	AF163135.1 GI:67149	372	Actinobacteria	Spirillospora	sp	JCM3123	h	u
AF017502	g2738849	473	Actinobacteria	Nocardioides	fulvus	JCM3335	h	u
U93321	g2290503	275	Actinobacteria	Kitasatosporia	griseola	JCM3339	h	u
U93331	g2290505	275	Actinobacteria	Kitasatosporia	phosalacinea	JCM3340	h	u
AF017471	g2738818	499	Actinobacteria	Nocardioides	albus	JCM5851	h	u
AF017472	g2738819	500	Actinobacteria	Nocardioides	albus	JCM5851	h	u
AF017473	g2738820	513	Actinobacteria	Nocardioides	albus	JCM5852	h	u
AF017474	g2738821	468	Actinobacteria	Nocardioides	albus	JCM5853	h	u
AF017475	g2738822	621	Actinobacteria	Nocardioides	albus	JCM5854	h	u
AF017476	g2738823	512	Actinobacteria	Nocardioides	albus	JCM5855	h	u
AF017477	g2738824	512	Actinobacteria	Nocardioides	albus	JCM5856	h	u
AF017478	g2738825	533	Actinobacteria	Nocardioides	albus	JCM5857	h	u
AF017479	g2738826	510	Actinobacteria	Nocardioides	albus	JCM5858	h	u
AF017481	g2738828	506	Actinobacteria	Nocardioides	albus	JCM5859	h	u
AF017482	g2738829	507	Actinobacteria	Nocardioides	albus	JCM5860	h	u
AF017483	g2738830	539	Actinobacteria	Nocardioides	albus	JCM5861	h	u
AF017484	g2738831	509	Actinobacteria	Nocardioides	albus	JCM5862	h	u
AF017485	g2738832	509	Actinobacteria	Nocardioides	albus	JCM5862	h	u
AF017486	g2738833	531	Actinobacteria	Nocardioides	albus	JCM5863	h	u
AF017487	g2738834	509	Actinobacteria	Nocardioides	albus	JCM5864	h	u
AB035485	AB035485.1 GI:65523	671	Firmicutes	Lactobacillus	delbrueckii	JCM1002	h	n
AB035488	AB035488.1 GI:65523	670	Firmicutes	Lactobacillus	salivarius	JCM1150	h	n
AB035487	AB035487.1 GI:65523	670	Firmicutes	Lactobacillus	paracasei	JCM1171	h	n
AB035484	AB035484.1 GI:65319	672	Firmicutes	Lactobacillus	delbrueckii	JCM1248	h	n
Z46603	g3650264	190	Actinobacteria	Actinopolyspora	halophila	JCM3278T	h	u
AB088764	AB088764.1 GI:22002	440	Actinobacteria	Micrococcus	luteus	JCM3347	h	u
AB088763	AB088763.1 GI:22002	440	Actinobacteria	Micrococcus	luteus	JCM3348	h	u
AF410965	AF410965.1 GI:15559	305	Fusobacteria	Fusobacterium	necrophorum	JCM3716	h	u
AF410966	AF410966.1 GI:15559	149	Fusobacteria	Fusobacterium	necrophorum	JCM3716	h	u
AF410968	AF410968.1 GI:15559	143	Fusobacteria	Fusobacterium	necrophorum	JCM3717	h	u
AF410967	AF410967.1 GI:15559	311	Fusobacteria	Fusobacterium	necrophorum	JCM3717	h	u
AF410969	AF410969.1 GI:15559	143	Fusobacteria	Fusobacterium	necrophorum	JCM3718	h	u
U93337	g2290507	296	Actinobacteria	Streptomyces	sp	JCM7249	h	u
U93339	g2290509	299	Actinobacteria	Streptomyces	sp	JCM7250	h	u
AB003409	g2351023	377	Euryarchaeota	Natronobacterium	pharaonis	JCM8858	h	u
AB003405	g2351019	514	Euryarchaeota	Halorubrum	saccharovorum	JCM8865	h	n
AB003406	g2351020	508	Euryarchaeota	Halorubrum	lacusprofundi	JCM8891	h	n
AB003411	g2351025	480	Euryarchaeota	Halorubrum	vacuolatum	JCM9060	h	n
AB003407	g2351021	513	Euryarchaeota	Halorubrum	distributum	JCM9100	h	n
AB003408	g2351022	510	Euryarchaeota	Halorubrum	coriense	JCM9275	h	n
AJ390588	AJ390588.1 GI:98447	506	Proteobacteria	Pseudomonas	stutzeri	JD4	h	u
AF074831	g4322235	750	Proteobacteria	Campylobacter	jejuni	JEO2677	h	p
AF074832	g4322236	751	Proteobacteria	Campylobacter	jejuni	JEO2677	h	p
AF074833	g4322237	751	Proteobacteria	Campylobacter	jejuni	JEO2693	h	p
AF074834	g4322238	752	Proteobacteria	Campylobacter	jejuni	JEO2759	h	p
AF074835	g4322239	750	Proteobacteria	Campylobacter	jejuni	JEO2762	h	p
AF074839	g4322243	946	Proteobacteria	Campylobacter	coli	JEO2772	h	p
AF074840	g4322244	914	Proteobacteria	Campylobacter	coli	JEO2777	h	p
AF145720	AF145720.1 GI:67395	213	Firmicutes	Planococcus	sp	JG07	h	u
